model,threshold_db,score_threshold,kept_tracks,kept_true_tracks,kept_false_tracks,true_track_retention,false_track_retention,false_track_reduction,precision_after
tcn_ae,0.0,0.9,12036,12035,1,0.5759199885150978,0.0625,0.9375,0.99991691591891
tcn_ae,3.0,0.1,18833,18831,2,0.9748408137909613,0.3333333333333333,0.6666666666666667,0.9998938034301492
tcn_ae,3.0,0.2,18702,18702,0,0.9681627581922658,0.0,1.0,1.0
tcn_ae,3.0,0.3,18516,18516,0,0.9585339338406584,0.0,1.0,1.0
tcn_ae,3.0,0.4,18251,18251,0,0.9448154475332609,0.0,1.0,1.0
tcn_ae,3.0,0.5,17866,17866,0,0.9248848164828907,0.0,1.0,1.0
tcn_ae,3.0,0.6,17280,17280,0,0.8945488429880416,0.0,1.0,1.0
tcn_ae,3.0,0.7,16404,16404,0,0.8492001863643422,0.0,1.0,1.0
tcn_ae,3.0,0.8,14802,14802,0,0.7662680540456592,0.0,1.0,1.0
tcn_ae,3.0,0.9,11791,11791,0,0.6103949888699073,0.0,1.0,1.0
tcn_ae,6.0,0.1,16223,16222,1,0.9793528133301135,1.0,0.0,0.9999383591197682
tcn_ae,6.0,0.2,16141,16140,1,0.9744023182806085,1.0,0.0,0.9999380459698903
tcn_ae,6.0,0.3,16011,16011,0,0.9666143443612654,0.0,1.0,1.0
tcn_ae,6.0,0.4,15814,15814,0,0.954721081864284,0.0,1.0,1.0
tcn_ae,6.0,0.5,15550,15550,0,0.9387829026805119,0.0,1.0,1.0
tcn_ae,6.0,0.6,15127,15127,0,0.9132455928519682,0.0,1.0,1.0
tcn_ae,6.0,0.7,14457,14457,0,0.8727964259840618,0.0,1.0,1.0
tcn_ae,6.0,0.8,13336,13336,0,0.8051195363438783,0.0,1.0,1.0
tcn_ae,6.0,0.9,11055,11055,0,0.667411253320454,0.0,1.0,1.0
tcn_ae,9.0,0.1,13502,13502,0,0.9801103368176539,,,1.0
tcn_ae,9.0,0.2,13434,13434,0,0.9751742160278746,,,1.0
